Name,Age
Mackenzie,94
Sean,69
Barnabe,147
Jacky,38
Major,23
Starlin,108
Marietta,22
Bartel,70
Husain,70
Colver,70
Nicholle,119
Joellen,102
Cheston,31
Marylynne,8
Gwendolin,112
Dave,141
Gallagher,96
Hiram,130
Carmella,1
Archie,140
Menard,99
Halette,22
Albertina,7
Florina,15
Shamus,87
Berk,113
Cecilia,101
Bradney,119
Shawn,131
Winnie,115
Bride,88
Melvin,108
Meghann,12
Bibby,107
Berta,139
Cori,140
Jillane,113
Francoise,34
Ossie,24
Jasen,46
Aurore,1
Lyle,74
Ernaline,90
Brandtr,64
Suzy,42
Milo,18
Karil,71
Sigismondo,146
Teresina,36
Myca,44
Maible,28
Rubie,51
Lorrin,93
Gerianna,12
Celina,82
Ruben,105
Angelika,145
Gussy,133
